6727,693359;
6739,370117;
6730,713379;
6727,669434;
6741,104492;
6734,490234;
6253,992676;
6574,985352;
6577,981445;
6569,539551;
6576,460449;
6561,48877;
6572,071777;
6576,985352;
6565,394531;
6571,473145;
6573,20752;
6570,453125;
6120,609863;
6085,479981;
6081,383301;
6088,394531;
6235,582031;
6326,229981;
6336,582031;
6323,055664;
6343,17334;
6328,225098;
6322,336914;
6327,916504;
6323,961914;
6319,978516;
6270,427246;
6087,494141;
6076,60791;
6081,445313;
6082,388184;
6083,291016;
6077,084961;
6084,453613;
6083,587402;
6080,277344;
6076,987305;
6074,733887;
6079,043457;
6076,726563;
6076,103027;
6165,097656;
6199,698731;
6191,891113;
6196,545898;
6067,401856;
5943,48877;
6074,469238;
6086,831055;
6077,794434;
6081,131836;
6076,992188;
6025,598145;
6011,528809;
6010,990723;
6008,262207;
5942,855469;
5933,631836;
5939,172852;
5935,542481;
5937,95166;
5867,428711;
5866,391113;
5871,411621;
5868,588379;
5606,909668;
5790,09668;
5777,388184;
5775,004883;
5719,615234;
5715,905273;
5715,522949;
5717,398438;
5725,194336;
5718,932617;
5712,05127;
5725,534668;
5720,499512;
5717,566406;
5708,584961;
5679,523438;
5652,309082;
5648,755859;
5635,793945;
5641,991211;
5647,406738;
5626,413574;
5637,236816;
5648,220703;
5626,431152;
5652,327148;
5643,035156;
5648,394531;
5648,286621;
5651,164551;
5651,275879;
5643,534668;
5643,652832;
5655,345215;
5647,695313;
5644,587402;
5646,993164;
5646,732422;
5651,727051;
5638,834961;
5647,250488;
5648,384766;
5654,560059;
5650,429688;
5652,083008;
5723,112305;
6686,441895;
6811,904785;
6935,089356;
7037,831543;
7028,70752;
7288,467773;
7557,259766;
7770,494629;
7788,289551;
7997,752441;
8083,29834;
8258,326172;
8260,975586;
8488,161133;
8484,916016;
8498,895508;
8481,368164;
8492,681641;
8495,21875;
8490,123047;
8487,069336;
8481,645508;
8494,648438;
8484,061523;
8485,223633;
8448,349609;
8357,530273;
8373,595703;
8368,5;
8363,049805;
8338,538086;
8246,638672;
8242,633789;
8225,886719;
8255,988281;
8251,041992;
8229,885742;
8241,158203;
8252,192383;
8265,06543;
8245,143555;
8251,418945;
8240,188477;
8251,208984;
8251,485352;
8256,563477;
8234,370117;
8267,402344;
8247,165039;
8253,716797;
8262,460938;
8229,285156;
8245,891602;
8252,616211;
8255,513672;
8255,895508;
8266,948242;
8256,668945;
8394,036133;
8414,578125;
8525,091797;
8537,632813;
8533,699219;
8528,65625;
8539,313477;
8520,657227;
8550,428711;
8515,902344;
8537,535156;
8532,854492;
8554,06543;
8526,929688;
8542,558594;
8494,820313;
8516,99707;
8537,00293;
8521,999023;
8519,722656;
8532,427734;
8539,65918;
8535,241211;
8543,066406;
8530,399414;
8493,74707;
8514,120117;
8508,238281;
8537,676758;
8543,373047;
8529,301758;
8544,819336;
8535,606445;
8540,064453;
8549,621094;
8536,55957;
